index,A_x_i,A_u_ij,y_i
1.000000000000000000e+00,-4.541167077113971162e-01,-4.699588418006941937e-01,-4.699588418006896973e-01
2.000000000000000000e+00,-7.351321527407919110e-01,-7.489923834800698010e-01,-7.489923834800720215e-01
3.000000000000000000e+00,-3.699763486831493253e+00,-3.693795204162607426e+00,-3.693795204162597656e+00
4.000000000000000000e+00,-2.304546205427222993e+00,-2.292077302932744143e+00,-2.292077302932739258e+00
5.000000000000000000e+00,2.320979826387093325e+00,2.323580980300901544e+00,2.323580980300903320e+00
6.000000000000000000e+00,2.803033690380731358e+00,2.802697181701660156e+00,2.802697181701660156e+00
7.000000000000000000e+00,6.162620555706717074e-01,6.134484410285829803e-01,6.134484410285949707e-01
8.000000000000000000e+00,-1.496558176552683417e+00,-1.492935299873353827e+00,-1.492935299873352051e+00
9.000000000000000000e+00,3.303164270740056585e-01,3.332459628582048472e-01,3.332459628582000732e-01
1.000000000000000000e+01,-3.292208935610749343e+00,-3.267488479614248043e+00,-3.267488479614257812e+00
1.100000000000000000e+01,-2.930668321563938417e-01,-2.935967743396763474e-01,-2.935967743396759033e-01
1.200000000000000000e+01,5.817513655636052938e-01,5.699341297149704832e-01,5.699341297149658203e-01
1.300000000000000000e+01,3.365612497680819715e+00,3.385989665985105646e+00,3.385989665985107422e+00
1.400000000000000000e+01,3.573224323399316837e+00,3.574248075485227716e+00,3.574248075485229492e+00
1.500000000000000000e+01,-3.888202739976263533e+00,-3.885690689086917615e+00,-3.885690689086914062e+00
1.600000000000000000e+01,-1.495462599263541303e+00,-1.484272837638856091e+00,-1.484272837638854980e+00
1.700000000000000000e+01,1.737585080384410396e+00,1.736534953117369051e+00,1.736534953117370605e+00
1.800000000000000000e+01,-1.577630890355765203e+00,-1.588787436485282090e+00,-1.588787436485290527e+00
1.900000000000000000e+01,1.924928762094210155e+00,1.931231260299684838e+00,1.931231260299682617e+00
2.000000000000000000e+01,1.774834905306065247e-01,1.564054638147264753e-01,1.564054638147354126e-01
2.100000000000000000e+01,1.833995799350745859e+00,1.821135759353635697e+00,1.821135759353637695e+00
2.200000000000000000e+01,-1.891513615942455484e+00,-1.901841998100276987e+00,-1.901841998100280762e+00
2.300000000000000000e+01,7.066473495500447122e-02,6.498940289020560535e-02,6.498940289020538330e-02
2.400000000000000000e+01,-2.500106718822080687e+00,-2.503605604171756482e+00,-2.503605604171752930e+00
2.500000000000000000e+01,4.198251025383238577e+00,4.215876579284668857e+00,4.215876579284667969e+00
2.600000000000000000e+01,5.987328541994235698e-01,6.049820780754036065e-01,6.049820780754089355e-01
2.700000000000000000e+01,-2.314406392183257388e+00,-2.317583322525021750e+00,-2.317583322525024414e+00
2.800000000000000000e+01,-2.096934377887431200e+00,-2.108813524246228699e+00,-2.108813524246215820e+00
2.900000000000000000e+01,-1.495462947001543474e-01,-1.557359397411353652e-01,-1.557359397411346436e-01
3.000000000000000000e+01,4.519255756391484802e-01,4.562200903892505988e-01,4.562200903892517090e-01
3.100000000000000000e+01,-2.077761779815501697e+00,-2.058534860610957473e+00,-2.058534860610961914e+00
3.200000000000000000e+01,-1.345916309767087871e+00,-1.346082687377928355e+00,-1.346082687377929688e+00
3.300000000000000000e+01,1.346464135813346674e+00,1.353669762611387828e+00,1.353669762611389160e+00
3.400000000000000000e+01,-1.476837815399422826e+00,-1.475524306297310018e+00,-1.475524306297302246e+00
3.500000000000000000e+01,2.388357770932900415e-01,2.327306121587777721e-01,2.327306121587753296e-01
3.600000000000000000e+01,-2.012027093811829648e+00,-2.002335071563722924e+00,-2.002335071563720703e+00
3.700000000000000000e+01,2.024626256769257449e+00,2.026711225509649772e+00,2.026711225509643555e+00
3.800000000000000000e+01,-2.903280707381539205e-02,-1.639205962418088802e-02,-1.639205962419509888e-02
3.900000000000000000e+01,-1.226498413089641915e+00,-1.235867261886592239e+00,-1.235867261886596680e+00
4.000000000000000000e+01,-3.341509878497392894e-01,-3.231788575649252593e-01,-3.231788575649261475e-01
4.100000000000000000e+01,2.154452095348421636e+00,2.137804031372062319e+00,2.137804031372070312e+00
4.200000000000000000e+01,2.309476289373518121e+00,2.324409484863283915e+00,2.324409484863281250e+00
4.300000000000000000e+01,1.583109530819272193e-01,1.627343147993041139e-01,1.627343147993087769e-01
4.400000000000000000e+01,-2.530235059603967773e+00,-2.538474798202505767e+00,-2.538474798202514648e+00
4.500000000000000000e+01,4.551026799568844261e+00,4.558894157409670633e+00,4.558894157409667969e+00
4.600000000000000000e+01,3.220996530200460617e-01,3.205432295799288678e-01,3.205432295799255371e-01
4.700000000000000000e+01,-3.177173149828517174e-01,-3.146815598011065696e-01,-3.146815598011016846e-01
4.800000000000000000e+01,-6.683019132549515851e-01,-6.814696788787892867e-01,-6.814696788787841797e-01
4.900000000000000000e+01,-3.315763722503441979e+00,-3.308205842971805755e+00,-3.308205842971801758e+00
5.000000000000000000e+01,-1.543667969414304064e+00,-1.537483334541320135e+00,-1.537483334541320801e+00
5.100000000000000000e+01,2.143496388283880005e+00,2.150162220001219371e+00,2.150162220001220703e+00
5.200000000000000000e+01,-9.652033685015241060e-01,-9.625359177589429827e-01,-9.625359177589416504e-01
5.300000000000000000e+01,-2.869863928825846067e+00,-2.876505136489864611e+00,-2.876505136489868164e+00
5.400000000000000000e+01,2.492985447384016950e+00,2.509872198104861951e+00,2.509872198104858398e+00
5.500000000000000000e+01,-2.039416545554491922e+00,-2.022254943847664244e+00,-2.022254943847656250e+00
5.600000000000000000e+01,-1.516826332790110143e+00,-1.512974619865422143e+00,-1.512974619865417480e+00
5.700000000000000000e+01,-2.070640462194503151e+00,-2.071659803390507371e+00,-2.071659803390502930e+00
5.800000000000000000e+01,-2.914235014127684043e-01,-2.757009565830190745e-01,-2.757009565830230713e-01
5.900000000000000000e+01,2.382879965795134947e-01,2.416376769542754044e-01,2.416376769542694092e-01
6.000000000000000000e+01,-1.377140264134006920e+00,-1.366403579711903848e+00,-1.366403579711914062e+00
6.100000000000000000e+01,-2.600351944055278253e+00,-2.595593452453622163e+00,-2.595593452453613281e+00
6.200000000000000000e+01,3.385332909310078353e+00,3.377904891967780987e+00,3.377904891967773438e+00
6.300000000000000000e+01,-2.651295922244873982e-01,-2.583172917366011179e-01,-2.583172917366027832e-01
6.400000000000000000e+01,-8.353774223356292827e-01,-8.374422788620037306e-01,-8.374422788619995117e-01
6.500000000000000000e+01,-1.276894985953046957e+00,-1.262830018997193937e+00,-1.262830018997192383e+00
6.600000000000000000e+01,1.309214757109924410e-01,1.307176202535416110e-01,1.307176202535629272e-01
6.700000000000000000e+01,-2.290303697936324490e+00,-2.280150651931760031e+00,-2.280150651931762695e+00
6.800000000000000000e+01,1.715673558018124156e+00,1.728342533111588253e+00,1.728342533111572266e+00
6.900000000000000000e+01,-8.167526248117796817e-01,-8.261926770210319404e-01,-8.261926770210266113e-01
7.000000000000000000e+01,1.039154758048866700e+00,1.027966022491449083e+00,1.027966022491455078e+00
7.100000000000000000e+01,-6.398169703445710788e-01,-6.536835432052592321e-01,-6.536835432052612305e-01
7.200000000000000000e+01,1.374949239648507460e-01,1.299851834774081727e-01,1.299851834774017334e-01
7.300000000000000000e+01,-1.294424201634493565e+00,-1.301954627037053891e+00,-1.301954627037048340e+00
7.400000000000000000e+01,2.409721567814657739e+00,2.412293195724486861e+00,2.412293195724487305e+00
7.500000000000000000e+01,1.330578271560264980e+00,1.323589205741890096e+00,1.323589205741882324e+00
7.600000000000000000e+01,3.067615544241509618e+00,3.070054769515990323e+00,3.070054769515991211e+00
7.700000000000000000e+01,4.320955603842397075e+00,4.338216781616223372e+00,4.338216781616210938e+00
7.800000000000000000e+01,2.060232520422870195e+00,2.066910266876228697e+00,2.066910266876220703e+00
7.900000000000000000e+01,3.300973522311407393e+00,3.301793575286860349e+00,3.301793575286865234e+00
8.000000000000000000e+01,-3.242907733839421880e-01,-3.420313596725400584e-01,-3.420313596725463867e-01
8.100000000000000000e+01,-7.055515624212497228e-01,-7.055640220642018789e-01,-7.055640220642089844e-01
8.200000000000000000e+01,1.779217082548583129e+00,1.788954257965081007e+00,1.788954257965087891e+00
8.300000000000000000e+01,-1.183223658314148663e-01,-1.287437975406626467e-01,-1.287437975406646729e-01
8.400000000000000000e+01,2.344535150302805571e-01,2.245028614997857108e-01,2.245028614997863770e-01
8.500000000000000000e+01,-9.252147432639276081e-01,-9.161719679832538432e-01,-9.161719679832458496e-01
8.600000000000000000e+01,-4.426130832754648914e-01,-4.365279376506843168e-01,-4.365279376506805420e-01
8.700000000000000000e+01,-4.417914148204518554e+00,-4.406694412231447089e+00,-4.406694412231445312e+00
8.800000000000000000e+01,-3.829041437180048524e-01,-3.861546218395255359e-01,-3.861546218395233154e-01
8.900000000000000000e+01,2.786600109879718623e+00,2.786343812942502218e+00,2.786343812942504883e+00
9.000000000000000000e+01,4.782193784115315038e-01,4.737374484539023101e-01,4.737374484539031982e-01
9.100000000000000000e+01,-2.401504702305481853e+00,-2.407742023468019799e+00,-2.407742023468017578e+00
9.200000000000000000e+01,-1.820848948505598974e+00,-1.813718795776364079e+00,-1.813718795776367188e+00
9.300000000000000000e+01,1.684997427746058429e+00,1.693360090255737305e+00,1.693360090255737305e+00
