step,n_images,k_samples,psnr_mean_db,psnr_sample_db,psnr_baseline_db,lpips_sample,lpips_baseline,std_median,nvr,edge_spearman,relmeas_median_f64,relmeas_p95_f64,relmeas_max_f64,g_cal,g_div,g_nvr,g_mean,g_cert,g_perc,gates_passed
2000,128,8,14.3173195820123,7.484860415797846,22.75232050515259,0.542077716672793,0.22333288885420188,0.37999349041469,3.131793830544332,0.13161234054452478,7.003895772542774e-07,1.122872639553669e-06,3.1799730976656728e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
4000,128,8,10.610207684422694,5.998480669985343,22.75232050515259,0.4327517806668766,0.22333288885420188,0.46326256125007176,4.34665485797578,0.004404188170175054,8.142922128796226e-07,1.2867701311329343e-06,3.8932033208020365e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
6000,128,8,9.55673615192019,5.896023945974379,22.75232050515259,0.42590136257058475,0.22333288885420188,0.4841229182759271,4.60381732782923,-0.023618972680437427,1.0412570626086147e-06,1.6642092599326387e-06,5.306854126758002e-06,FAIL,FAIL,PASS,FAIL,WARN,FAIL,2
8000,128,8,8.884691309676356,5.8341729149867385,22.75232050515259,0.42869807133683935,0.22333288885420188,0.4841229182759271,4.668855182558436,-0.027619021677581127,1.268464227182174e-06,2.027143557814454e-06,7.767089960204449e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
10000,128,8,8.397102020966278,5.767933214997822,22.75232050515259,0.43052939930930734,0.22333288885420188,0.4841229182759271,4.739449627695164,-0.027808757883295898,1.4442078427658014e-06,2.353633993595492e-06,7.585130960424383e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
12000,128,8,7.946533157064453,5.729174803269132,22.75232050515259,0.43202301679411903,0.22333288885420188,0.4841229182759271,4.789382454532423,-0.028015538008102504,1.6455032376823926e-06,2.5877535931453044e-06,7.63863107648591e-06,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
14000,128,8,7.536875939190102,5.667490033969406,22.75232050515259,0.43563134160649497,0.22333288885420188,0.4841229182759271,4.827688387636285,-0.028633820241275084,1.9838284645467834e-06,2.9842492911779505e-06,1.0391559013983184e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
16000,128,8,7.385333504676311,5.548347101352386,22.75232050515259,0.43880051327869296,0.22333288885420188,0.4841229182759271,4.836021304403787,-0.026813607285914354,2.3044100298706645e-06,3.7054093866180796e-06,1.2372648954447057e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
18000,128,8,7.258201117045583,5.584515353480831,22.75232050515259,0.4384944955963874,0.22333288885420188,0.4841229182759271,4.882350393301158,-0.027728550459321204,2.4961708250845096e-06,4.115762719454315e-06,1.1380403756992939e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,128,8,7.142865321267563,5.603247749074666,22.75232050515259,0.4409450076491339,0.22333288885420188,0.4841229182759271,4.8893350691009285,-0.03126094097114065,2.7091591027830527e-06,4.400003544618082e-06,1.6838926374351588e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
20000,512,8,7.095805049699837,5.65806677381806,22.25258505414529,0.43218476443144027,0.23191990095801884,0.4841229182759271,4.9275908755285975,-0.02530625481808443,2.6940246261211182e-06,4.6055464506920445e-06,1.6838926374351588e-05,PASS,FAIL,PASS,FAIL,WARN,FAIL,3
